Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 24, 2017 - December 29, 2017"
Statement,Data,WhenGenerated,"2024-02-24, 03:03:22 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Lot,Equity and Index Options,USD,KSS 26JAN18 65.0 C,"2017-12-27, 14:37:06",-8,,0.250559225,-200.44738,0.1631,-130.48,69.96738,ST
Open Positions,Data,Summary,Equity and Index Options,USD,KSU 02FEB18 99.0 P,-,-5,100,1.0005419,-500.27095,1.2049,-602.45,-102.17905,
Open Positions,Data,Lot,Equity and Index Options,USD,KSU 02FEB18 99.0 P,"2017-12-27, 14:21:12",-5,,1.0005419,-500.27095,1.2049,-602.45,-102.17905,ST
Open Positions,Data,Summary,Equity and Index Options,USD,LRCX 12JAN18 150.0 P,-,-3,100,1.130538897,-339.161669,0.0317,-9.51,329.651669,
Open Positions,Data,Lot,Equity and Index Options,USD,LRCX 12JAN18 150.0 P,"2017-12-05, 10:19:23",-3,,1.130538897,-339.161669,0.0317,-9.51,329.651669,ST
Open Positions,Data,Summary,Equity and Index Options,USD,M 29DEC17 17.5 P,-,-19,100,0.088262921,-167.69955,0,0,167.69955,
Open Positions,Data,Lot,Equity and Index Options,USD,M 29DEC17 17.5 P,"2017-11-27, 09:45:04",-19,,0.088262921,-167.69955,0,0,167.69955,ST
Open Positions,Data,Summary,Equity and Index Options,USD,MAT 12JAN18 13.0 P,-,-30,100,0.130561997,-391.685991,0.076,-228,163.685991,
Open Positions,Data,Lot,Equity and Index Options,USD,MAT 12JAN18 13.0 P,"2017-12-05, 10:35:21",-30,,0.130561997,-391.685991,0.076,-228,163.685991,ST
Open Positions,Data,Summary,Equity and Index Options,USD,MON 09FEB18 109.0 P,-,-5,100,0.442734606,-221.367303,1.0649,-532.45,-311.082697,
Open Positions,Data,Lot,Equity and Index Options,USD,MON 09FEB18 109.0 P,"2017-12-28, 09:54:16",-1,,0.44245461,-44.245461,1.0649,-106.49,-62.244539,ST
Open Positions,Data,Lot,Equity and Index Options,USD,MON 09FEB18 109.0 P,"2017-12-28, 09:54:16",-4,,0.442804605,-177.121842,1.0649,-425.96,-248.838158,ST
Open Positions,Data,Summary,Equity and Index Options,USD,MU 29DEC17 35.0 P,-,-13,100,0.535052526,-695.568284,0,0,695.568284,
Open Positions,Data,Lot,Equity and Index Options,USD,MU 29DEC17 35.0 P,"2017-12-04, 10:02:27",-13,,0.535052526,-695.568284,0,0,695.568284,ST
Open Positions,Data,Summary,Equity and Index Options,USD,NFLX 02FEB18 217.5 C,-,-2,100,1.07624005,-215.24801,2.088,-417.6,-202.35199,
Open Positions,Data,Lot,Equity and Index Options,USD,NFLX 02FEB18 217.5 C,"2017-12-27, 14:20:31",-2,,1.07624005,-215.24801,2.088,-417.6,-202.35199,ST
Open Positions,Data,Summary,Equity and Index Options,USD,NTAP 29DEC17 55.5 P,-,-10,100,0.207149918,-207.149918,0.18,-180,27.149918,
Open Positions,Data,Lot,Equity and Index Options,USD,NTAP 29DEC17 55.5 P,"2017-12-26, 13:57:07",-3,,0.207159917,-62.147975,0.18,-54,8.147975,ST
Open Positions,Data,Lot,Equity and Index Options,USD,NTAP 29DEC17 55.5 P,"2017-12-26, 13:57:07",-1,,0.20705992,-20.705992,0.18,-18,2.705992,ST
Open Positions,Data,Lot,Equity and Index Options,USD,NTAP 29DEC17 55.5 P,"2017-12-26, 13:57:07",-6,,0.207159918,-124.295951,0.18,-108,16.295951,ST
Open Positions,Data,Summary,Equity and Index Options,USD,NVDA 05JAN18 170.0 P,-,-3,100,1.29503497,-388.510491,0.0837,-25.11,363.400491,
Open Positions,Data,Lot,Equity and Index Options,USD,NVDA 05JAN18 170.0 P,"2017-12-04, 09:58:08",-3,,1.29503497,-388.510491,0.0837,-25.11,363.400491,ST
Open Positions,Data,Summary,Equity and Index Options,USD,PYPL 05JAN18 65.0 P,-,-8,100,0.335057146,-268.045717,0.0135,-10.8,257.245717,
Open Positions,Data,Lot,Equity and Index Options,USD,PYPL 05JAN18 65.0 P,"2017-12-04, 10:05:36",-8,,0.335057146,-268.045717,0.0135,-10.8,257.245717,ST
Open Positions,Data,Summary,Equity and Index Options,USD,REGN 09FEB18 350.0 P,-,-1,100,5.18074488,-518.074488,5.8228,-582.28,-64.205512,
Open Positions,Data,Lot,Equity and Index Options,USD,REGN 09FEB18 350.0 P,"2017-12-29, 09:30:01",-1,,5.18074488,-518.074488,5.8228,-582.28,-64.205512,ST
Open Positions,Data,Summary,Equity and Index Options,USD,RHT 05JAN18 105.0 P,-,-5,100,0.749547676,-374.773838,0.0001,-0.05,374.723838,
Open Positions,Data,Lot,Equity and Index Options,USD,RHT 05JAN18 105.0 P,"2017-11-30, 11:46:52",-5,,0.749547676,-374.773838,0.0001,-0.05,374.723838,ST
Open Positions,Data,Summary,Equity and Index Options,USD,SBUX 05JAN18 54.0 P,-,-9,100,0.356256684,-320.631016,0.0044,-3.96,316.671016,
Open Positions,Data,Lot,Equity and Index Options,USD,SBUX 05JAN18 54.0 P,"2017-12-01, 11:29:47",-9,,0.356256684,-320.631016,0.0044,-3.96,316.671016,ST
Open Positions,Data,Summary,Equity and Index Options,USD,SLB 12JAN18 59.0 P,-,-8,100,0.366256452,-293.005162,0.0008,-0.64,292.365162,
Open Positions,Data,Lot,Equity and Index Options,USD,SLB 12JAN18 59.0 P,"2017-12-05, 15:59:56",-8,,0.366256452,-293.005162,0.0008,-0.64,292.365162,ST
Open Positions,Data,Summary,Equity and Index Options,USD,STX 05JAN18 32.0 P,-,-16,100,0.176260842,-282.017347,0.0001,-0.16,281.857347,
Open Positions,Data,Lot,Equity and Index Options,USD,STX 05JAN18 32.0 P,"2017-12-01, 11:31:03",-16,,0.176260842,-282.017347,0.0001,-0.16,281.857347,ST
Open Positions,Data,Summary,Equity and Index Options,USD,SWKS 02FEB18 85.0 P,-,-6,100,0.750547675,-450.328605,0.6752,-405.12,45.208605,
Open Positions,Data,Lot,Equity and Index Options,USD,SWKS 02FEB18 85.0 P,"2017-12-29, 09:49:55",-6,,0.750547675,-450.328605,0.6752,-405.12,45.208605,ST
Open Positions,Data,Summary,Equity and Index Options,USD,TIF 26JAN18 115.0 C,-,-4,100,0.536252525,-214.50101,0.3382,-135.28,79.22101,
Open Positions,Data,Lot,Equity and Index Options,USD,TIF 26JAN18 115.0 C,"2017-12-27, 14:23:00",-4,,0.536252525,-214.50101,0.3382,-135.28,79.22101,ST
Open Positions,Data,Summary,Equity and Index Options,USD,TRIP 29DEC17 28.0 P,-,-11,100,0.140561766,-154.617943,0,0,154.617943,
Open Positions,Data,Lot,Equity and Index Options,USD,TRIP 29DEC17 28.0 P,"2017-11-27, 10:59:56",-5,,0.140561766,-70.280883,0,0,70.280883,ST
Open Positions,Data,Lot,Equity and Index Options,USD,TRIP 29DEC17 28.0 P,"2017-11-27, 10:59:56",-6,,0.140561767,-84.33706,0,0,84.33706,ST
Open Positions,Data,Summary,Equity and Index Options,USD,UAA 02FEB18 12.5 P,-,-30,100,0.068263383,-204.790149,0.195,-585,-380.209851,
Open Positions,Data,Lot,Equity and Index Options,USD,UAA 02FEB18 12.5 P,"2017-12-27, 15:02:15",-30,,0.068263383,-204.790149,0.195,-585,-380.209851,ST
Open Positions,Data,Summary,Equity and Index Options,USD,UAL 29DEC17 53.0 P,-,-6,100,0.266258763,-159.755258,0,0,159.755258,
Open Positions,Data,Lot,Equity and Index Options,USD,UAL 29DEC17 53.0 P,"2017-11-27, 11:00:22",-6,,0.266258763,-159.755258,0,0,159.755258,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ULTA 29DEC17 180.0 P,-,-2,100,1.50053035,-300.10607,0,0,300.10607,
Open Positions,Data,Lot,Equity and Index Options,USD,ULTA 29DEC17 180.0 P,"2017-11-27, 09:45:21",-2,,1.50053035,-300.10607,0,0,300.10607,ST
Open Positions,Data,Summary,Equity and Index Options,USD,URI 05JAN18 177.5 C,-,-3,100,0.650549987,-195.164996,0.3208,-96.24,98.924996,
Open Positions,Data,Lot,Equity and Index Options,USD,URI 05JAN18 177.5 C,"2017-12-04, 09:30:04",-3,,0.650549987,-195.164996,0.3208,-96.24,98.924996,ST
Open Positions,Data,Summary,Equity and Index Options,USD,VRTX 12JAN18 125.0 P,-,-4,100,1.030541208,-412.216483,0.3598,-143.92,268.296483,
Open Positions,Data,Lot,Equity and Index Options,USD,VRTX 12JAN18 125.0 P,"2017-12-06, 10:16:10",-4,,1.030541208,-412.216483,0.3598,-143.92,268.296483,ST
Open Positions,Data,Summary,Equity and Index Options,USD,WBA 19JAN18 62.5 P,-,-8,100,0.39625576,-317.004608,0.1349,-107.92,209.084608,
Open Positions,Data,Lot,Equity and Index Options,USD,WBA 19JAN18 62.5 P,"2017-12-12, 10:24:18",-8,,0.39625576,-317.004608,0.1349,-107.92,209.084608,ST
Open Positions,Data,Summary,Equity and Index Options,USD,WDC 02FEB18 70.0 P,-,-7,100,0.555052064,-388.536445,0.5858,-410.06,-21.523555,
Open Positions,Data,Lot,Equity and Index Options,USD,WDC 02FEB18 70.0 P,"2017-12-29, 09:52:20",-7,,0.555052064,-388.536445,0.5858,-410.06,-21.523555,ST
Open Positions,Data,Summary,Equity and Index Options,USD,WHR 29DEC17 152.5 P,-,-2,100,0.756247445,-151.249489,0,0,151.249489,
Open Positions,Data,Lot,Equity and Index Options,USD,WHR 29DEC17 152.5 P,"2017-11-27, 15:45:00",-2,,0.756247445,-151.249489,0,0,151.249489,ST
Open Positions,Data,Summary,Equity and Index Options,USD,WYNN 12JAN18 177.5 C,-,-3,100,0.776246983,-232.874095,0.4325,-129.75,103.124095,
Open Positions,Data,Lot,Equity and Index Options,USD,WYNN 12JAN18 177.5 C,"2017-12-05, 10:20:48",-3,,0.776246983,-232.874095,0.4325,-129.75,103.124095,ST
Open Positions,Total,,Equity and Index Options,USD,,,,,,-19398.420899,,-13651.08,5747.340899,
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,ADSK,"2017-05-19, 16:20:00",-,-300,100,109.91,30000,-0.0357,-29999.9643,0,-2973,A;O
Trades,Data,Trade,Stocks,USD,ADSK,"2017-05-19, 16:20:00",--,-300,100,109.91,30000,-0.0357,-29999.9643,0,-2973,A;O
Trades,Data,Order,Stocks,USD,ADSK,"2017-05-19, 16:20:00",-,300,105,109.91,-31500,0,30171.875207,-1384.204093,1473,C;Ex
Trades,Data,Trade,Stocks,USD,ADSK,"2017-05-19, 16:20:00",--,300,105,109.91,-31500,0,30171.875207,-1384.204093,1473,C;Ex
Trades,Data,ClosedLot,Stocks,USD,ADSK,2017-05-19,,-300,100.572917357,,,,-30171.875207,-1384.204093,,ST
Trades,SubTotal,,Stocks,USD,ADSK,,,0,,,-1500,-0.0357,171.910907,-1384.204093,-1500,
Trades,Data,Order,Stocks,USD,AGN,"2017-10-06, 16:20:00",-,200,210,202.94,-42000,0,42000,0,-1412,A;O
